,Title,Company,Location,Level,Technologies
74,DevOps Senior Engineer,FIS,['Beograd'],['Senior'],"['Linux', 'Windows', 'Docker', 'Kubernetes', 'Microsoft SQL Server', 'MongoDB', 'Agile']"
75,Web Developer,FIS,['Beograd'],['Senior'],"['JavaScript', 'Angular', 'Bootstrap', 'HTML', 'CSS', 'REST', 'WebSockets', 'Java']"
76,Senior Consultant SAP S/4HANA,Camelot IT Lab,['Beograd'],['Senior'],"['SAP S', '4HANA']"
77,Senior Java Full Stack Engineer,Zuhlke Engineering,"['Beograd', 'Remote']",['Senior'],"['Java', 'OOP', 'Spring', 'JavaScript', 'Angular', 'ReactJS', 'UML', 'Git', 'Jenkins', 'SQL']"
78,Java Software Engineer,Zuhlke Engineering,"['Beograd', 'Remote']",['Medior'],"['Java', 'OOP', 'Spring', 'JavaScript', 'Angular', 'ReactJS', 'Git', 'Jenkins', 'UML', 'SQL']"
79,Product Owner,ERYCE AG,['Novi Sad'],['Medior'],"['Agile', 'SCRUM']"
80,Python Developer,ERYCE AG,['Novi Sad'],"['Medior', 'Senior']","['Python', 'Django', 'SQL', 'Docker']"
81,Full Stack Java Developer,ERYCE AG,['Novi Sad'],['Medior'],"['Java', 'JavaScript', 'OOP', 'NoSQL', 'Spring', 'Hibernate']"
82,Junior C# Developer,OSM,['Beograd'],['Junior'],"['C#', 'HTTP', 'TCP/IP']"
83,SQL Developer,OSM,['Beograd'],"['Medior', 'Senior']","['SQL', 'DDL', 'SSIS', 'C#', 'VB.NET']"
84,DevOps Senior Engineer,FIS,['Beograd'],['Senior'],"['Linux', 'Windows', 'Docker', 'Kubernetes', 'Microsoft SQL Server', 'MongoDB', 'Agile']"
85,Web Developer,FIS,['Beograd'],['Senior'],"['JavaScript', 'Angular', 'Bootstrap', 'HTML', 'CSS', 'REST', 'WebSockets', 'Java']"
86,Senior Consultant SAP S/4HANA,Camelot IT Lab,['Beograd'],['Senior'],"['SAP S', '4HANA']"
87,Senior Java Full Stack Engineer,Zuhlke Engineering,"['Beograd', 'Remote']",['Senior'],"['Java', 'OOP', 'Spring', 'JavaScript', 'Angular', 'ReactJS', 'UML', 'Git', 'Jenkins', 'SQL']"
88,Java Software Engineer,Zuhlke Engineering,"['Beograd', 'Remote']",['Medior'],"['Java', 'OOP', 'Spring', 'JavaScript', 'Angular', 'ReactJS', 'Git', 'Jenkins', 'UML', 'SQL']"
89,Product Owner,ERYCE AG,['Novi Sad'],['Medior'],"['Agile', 'SCRUM']"
90,Python Developer,ERYCE AG,['Novi Sad'],"['Medior', 'Senior']","['Python', 'Django', 'SQL', 'Docker']"
91,Full Stack Java Developer,ERYCE AG,['Novi Sad'],['Medior'],"['Java', 'JavaScript', 'OOP', 'NoSQL', 'Spring', 'Hibernate']"
92,Junior C# Developer,OSM,['Beograd'],['Junior'],"['C#', 'HTTP', 'TCP/IP']"
93,SQL Developer,OSM,['Beograd'],"['Medior', 'Senior']","['SQL', 'DDL', 'SSIS', 'C#', 'VB.NET']"
